REGIONI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Piemonte,23576,22389,23454,24180,25359,25134,23309,24883,23515,25098,24468,24800,24452,23006,22651,22882,22402,25243,23124,22432,21608,22236,21805
Valle d'Aosta/Vallée d'Aoste,983,1007,972,1079,1272,1165,1170,1148,1122,1222,1286,1416,1625,1461,1550,1324,1225,1272,1050,1101,1168,1106,1074
Lombardia,40894,38103,40230,41844,42442,43627,40278,43855,43614,45943,44124,46502,45207,44174,43225,43987,42561,48968,44666,42869,42039,42661,42386
Trentino-Alto Adige,2884,2956,2947,3031,3217,3409,3452,3726,3668,3843,3801,3953,4216,3982,3873,3723,3962,4143,3907,4017,4098,4222,4344
Bolzano/Bozen,1235,1255,1140,1208,1254,1356,1354,1394,1434,1544,1410,1372,1572,1405,1413,1469,1495,1508,1414,1485,1527,1564,1584
Trento,1649,1701,1807,1823,1963,2053,2098,2332,2234,2299,2391,2581,2644,2577,2460,2254,2467,2635,2493,2532,2571,2658,2760
Veneto,12296,12663,13013,13983,15990,17252,16032,17601,17540,18690,19285,20072,19569,19393,19834,20124,20674,22703,20556,19471,18731,19668,19407
Friuli-Venezia Giulia,4929,4818,4832,5082,5315,6003,5070,5718,5893,6240,6330,6657,6344,6322,6461,6511,6214,6998,6242,6347,6260,6248,6321
Liguria,12322,11714,11830,12283,12667,12332,11119,11514,10929,11516,11022,11694,11776,11578,10881,12129,11213,13495,12188,11323,10664,10895,10839
Emilia-Romagna,14696,15327,16867,18135,18588,20456,19254,21919,21720,23490,23209,24629,24825,25043,25920,26915,26321,29871,26599,25673,24523,25185,24107
Toscana,13050,12757,13403,13984,13993,15418,13613,15851,15742,16887,16927,17411,17534,17703,17671,17713,18194,20949,18875,18094,17455,18273,18265
Umbria,3769,3914,4185,4382,4203,4848,4343,4557,4803,5240,5117,5372,5318,5416,5445,5540,5890,7161,6395,6143,6067,6149,6051
Marche,5190,5337,5596,6016,6469,7041,6154,6858,7004,7758,7774,8021,7676,8363,8927,9099,8647,10203,9514,8488,8267,8698,8622
Lazio,25639,26504,27514,28339,25795,31796,26493,28051,26897,26628,30423,26876,25668,31747,26938,27678,26557,32781,28413,27713,28511,30086,29657
Abruzzo,6300,6412,6534,6658,6940,7795,6466,6772,6588,6710,6963,7514,7405,7830,8108,7856,8103,10189,9005,8856,8828,9107,8883
Molise,2442,2304,2453,2547,2624,2785,2319,2435,2439,2485,2536,2484,2569,2491,2537,2590,2678,3248,2822,2813,2848,3215,3092
Campania,33478,37168,39658,42153,46732,51281,46019,47248,43317,43430,42922,44189,44491,47743,39302,40108,43107,50997,41315,38186,36893,37131,36445
Puglia,25393,27635,27579,29752,30294,30999,26728,27157,26090,25529,25441,26433,25543,25602,23367,23117,24208,27918,24034,22637,22082,22879,23372
Basilicata,4838,5089,5137,5428,5596,5415,4759,4933,4797,4531,4706,4845,4871,4839,5002,4682,4580,5365,4520,4661,4448,4990,5070
Calabria,18955,19866,20416,21769,22751,22702,19700,20172,20168,20635,18811,18276,17888,17864,17108,16997,16984,20207,17044,15834,15637,16462,16724
Sicilia,28004,31423,31035,34182,35752,38962,34570,33463,31575,31600,28117,29264,29236,28845,26653,26795,26908,30870,26753,25897,26307,28296,29374
Sardegna,8111,8797,9631,10025,9761,10588,9285,8600,8435,8168,7707,7660,7602,7752,7562,7488,7438,8670,7667,7066,6854,7190,7029
Italia,287749,296183,307286,324852,335760,359008,320133,336461,325856,335643,330969,338068,333815,341154,323015,327258,327866,381251,334689,319621,313288,324697,322867
