"unit,direct,na_item,geo\time"	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
"PPS_HAB,BAL,B6N,AT11"	19000	19900	19700	19200	19600	19700	20900	20500	21200	22100	21900	: 
"PPS_HAB,BAL,B6N,AT12"	19800	20800	20700	20200	20600	20900	21800	21600	22000	22600	22600	: 
"PPS_HAB,BAL,B6N,AT13"	20000	20800	20600	20100	20200	20400	21000	20500	20800	21200	20900	: 
"PPS_HAB,BAL,B6N,AT21"	18500	19300	19200	18700	19100	19200	20200	19900	20600	21200	21000	: 
"PPS_HAB,BAL,B6N,AT22"	18600	19500	19500	19000	19300	19600	20500	20200	20800	21400	21200	: 
"PPS_HAB,BAL,B6N,AT31"	19300	20100	20100	19500	19700	20100	21000	20800	21300	21800	21700	: 
"PPS_HAB,BAL,B6N,AT32"	19400	20200	20300	19800	20000	20300	21300	21100	21700	22300	22300	: 
"PPS_HAB,BAL,B6N,AT33"	18800	19500	19500	18900	19100	19500	20400	20300	20800	21400	21400	: 
"PPS_HAB,BAL,B6N,AT34"	19900	20600	20500	19900	20200	20700	21800	21700	22300	23000	22900	: 
"PPS_HAB,BAL,B6N,BE10"	15300	15900	16100	15700	15700	15500	15600	15600	15900	16200	16200	: 
"PPS_HAB,BAL,B6N,BE21"	16700	17200	17600	17400	17500	17500	17800	17700	18100	18700	18400	: 
"PPS_HAB,BAL,B6N,BE22"	15600	16100	16400	16200	16300	16600	17100	17000	17300	17800	17700	: 
"PPS_HAB,BAL,B6N,BE23"	17000	17700	18100	17900	17900	18200	18600	18600	19000	19600	19200	: 
"PPS_HAB,BAL,B6N,BE24"	19000	19800	20000	19500	19500	19600	20100	19900	20400	21000	20700	: 
"PPS_HAB,BAL,B6N,BE25"	16300	17000	17400	17200	17400	17700	18200	18200	18600	19300	18800	: 
"PPS_HAB,BAL,B6N,BE31"	17900	18400	18400	18100	18200	18400	18800	18700	19200	19400	19000	: 
"PPS_HAB,BAL,B6N,BE32"	13700	14200	14500	14300	14400	14600	15000	14900	15300	15500	15300	: 
"PPS_HAB,BAL,B6N,BE33"	14100	14600	14900	14700	14800	15000	15400	15400	15800	16100	15900	: 
"PPS_HAB,BAL,B6N,BE34"	14700	15100	15300	14900	15100	15400	15700	15900	16300	16800	16800	: 
"PPS_HAB,BAL,B6N,BE35"	14500	15100	15200	14900	15100	15400	15800	15900	16200	16500	16400	: 
"PPS_HAB,BAL,B6N,BG31"	3700	4400	4600	4400	4400	4600	4700	5400	5800	6000	6000	6000
"PPS_HAB,BAL,B6N,BG32"	4400	4600	5000	4600	4600	5400	5400	5800	6000	6700	6900	7200
