"TIME","GEO","GEO_LABEL","SEX","UNIT","AGE","TRAINING","WSTATUS","Value"
"2000","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.0"
"2003","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.1"
"2004","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.9"
"2005","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.7"
"2006","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.8"
"2007","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.0"
"2008","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2009","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.5"
"2010","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.8"
"2011","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.9"
"2012","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.2"
"2013","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.0"
"2014","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.5"
"2015","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2016","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2017","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2018","EU28","European Union - 28 countries","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2000","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.3"
"2001","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.0"
"2002","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.1"
"2003","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2004","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2005","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2006","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2007","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.8"
"2008","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.1"
"2009","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.5"
"2010","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.7"
"2011","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.8"
"2012","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.0"
"2013","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.7"
"2014","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.2"
"2015","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.8"
"2016","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.3"
"2017","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2018","EU15","European Union - 15 countries (1995-2004)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
