"TIME","GEO","GEO_LABEL","UNIT","UNIT_LABEL","Value"
"2003","BE","Belgium","PC","Percentage","23.4"
"2003","BG","Bulgaria","PC","Percentage",":"
"2003","BG3","Severna i yugoiztochna Bulgaria","PC","Percentage",":"
"2003","BG31","Severozapaden","PC","Percentage",":"
"2003","BG32","Severen tsentralen","PC","Percentage",":"
"2003","BG33","Severoiztochen","PC","Percentage",":"
"2003","BG34","Yugoiztochen","PC","Percentage",":"
"2003","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","PC","Percentage",":"
"2003","BG41","Yugozapaden","PC","Percentage",":"
"2003","BG42","Yuzhen tsentralen","PC","Percentage",":"
"2003","CZ","Czechia","PC","Percentage",":"
"2003","CZ01","Praha","PC","Percentage",":"
"2003","CZ02","Strední Cechy","PC","Percentage",":"
"2003","CZ03","Jihozápad","PC","Percentage",":"
"2003","CZ04","Severozápad","PC","Percentage",":"
"2003","CZ05","Severovýchod","PC","Percentage",":"
"2003","CZ06","Jihovýchod","PC","Percentage",":"
"2003","CZ07","Strední Morava","PC","Percentage",":"
"2003","CZ08","Moravskoslezsko","PC","Percentage",":"
"2003","DK","Denmark","PC","Percentage","16.9"
"2003","DK01","Hovedstaden","PC","Percentage",":"
"2003","DK02","Sjælland","PC","Percentage",":"
"2003","DK03","Syddanmark","PC","Percentage",":"
"2003","DK04","Midtjylland","PC","Percentage",":"
"2003","DK05","Nordjylland","PC","Percentage",":"
"2003","DE","Germany (until 1990 former territory of the FRG)","PC","Percentage",":"
"2003","DE11","Stuttgart","PC","Percentage",":"
"2003","DE12","Karlsruhe","PC","Percentage",":"
"2003","DE13","Freiburg","PC","Percentage",":"
"2003","DE14","Tübingen","PC","Percentage",":"
"2003","DE21","Oberbayern","PC","Percentage",":"
"2003","DE22","Niederbayern","PC","Percentage",":"
"2003","DE23","Oberpfalz","PC","Percentage",":"
"2003","DE24","Oberfranken","PC","Percentage",":"
"2003","DE25","Mittelfranken","PC","Percentage",":"
"2003","DE26","Unterfranken","PC","Percentage",":"
"2003","DE27","Schwaben","PC","Percentage",":"
"2003","DE30","Berlin","PC","Percentage",":"
"2003","DE40","Brandenburg","PC","Percentage",":"
"2003","DE50","Bremen","PC","Percentage",":"
"2003","DE60","Hamburg","PC","Percentage",":"
"2003","DE71","Darmstadt","PC","Percentage",":"
"2003","DE72","Gießen","PC","Percentage",":"
"2003","DE73","Kassel","PC","Percentage",":"
"2003","DE80","Mecklenburg-Vorpommern","PC","Percentage",":"
"2003","DE91","Braunschweig","PC","Percentage",":"
"2003","DE92","Hannover","PC","Percentage",":"
"2003","DE93","Lüneburg","PC","Percentage",":"
"2003","DE94","Weser-Ems","PC","Percentage",":"
"2003","DEA1","Düsseldorf","PC","Percentage",":"
"2003","DEA2","Köln","PC","Percentage",":"
"2003","DEA3","Münster","PC","Percentage",":"
"2003","DEA4","Detmold","PC","Percentage",":"
"2003","DEA5","Arnsberg","PC","Percentage",":"
"2003","DEB1","Koblenz","PC","Percentage",":"
"2003","DEB2","Trier","PC","Percentage",":"
"2003","DEB3","Rheinhessen-Pfalz","PC","Percentage",":"
"2003","DEC0","Saarland","PC","Percentage",":"
"2003","DED2","Dresden","PC","Percentage",":"
"2003","DED4","Chemnitz","PC","Percentage",":"
"2003","DED5","Leipzig","PC","Percentage",":"
"2003","DEE0","Sachsen-Anhalt","PC","Percentage",":"
"2003","DEF0","Schleswig-Holstein","PC","Percentage",":"
"2003","DEG0","Thüringen","PC","Percentage",":"
"2003","EE","Estonia","PC","Percentage",":"
"2003","IE","Ireland","PC","Percentage","24.4"
"2003","IE04","Northern and Western","PC","Percentage",":"
"2003","IE05","Southern","PC","Percentage",":"
"2003","IE06","Eastern and Midland","PC","Percentage",":"
"2003","IE01","Border, Midland and Western (NUTS 2013)","PC","Percentage","30.6"
"2003","IE02","Southern and Eastern (NUTS 2013)","PC","Percentage","22.3"
"2003","EL","Greece","PC","Percentage","32.9"
"2003","EL5","Voreia Ellada","PC","Percentage","37.2"
"2003","EL51","Anatoliki Makedonia, Thraki","PC","Percentage",":"
"2003","EL52","Kentriki Makedonia","PC","Percentage",":"
"2003","EL53","Dytiki Makedonia","PC","Percentage",":"
"2003","EL54","Ipeiros","PC","Percentage",":"
"2003","EL6","Kentriki Ellada","PC","Percentage","40.1"
"2003","EL61","Thessalia","PC","Percentage",":"
"2003","EL62","Ionia Nisia","PC","Percentage",":"
"2003","EL63","Dytiki Ellada","PC","Percentage",":"
"2003","EL64","Sterea Ellada","PC","Percentage",":"
"2003","EL65","Peloponnisos","PC","Percentage",":"
"2003","EL3","Attiki","PC","Percentage","25.8"
"2003","EL30","Attiki","PC","Percentage",":"
"2003","EL4","Nisia Aigaiou, Kriti","PC","Percentage","32.0"
"2003","EL41","Voreio Aigaio","PC","Percentage",":"
"2003","EL42","Notio Aigaio","PC","Percentage",":"
"2003","EL43","Kriti","PC","Percentage",":"
"2003","ES","Spain","PC","Percentage",":"
"2003","ES1","Noroeste (ES)","PC","Percentage",":"
"2003","ES11","Galicia","PC","Percentage",":"
"2003","ES12","Principado de Asturias","PC","Percentage",":"
"2003","ES13","Cantabria","PC","Percentage",":"
"2003","ES2","Noreste (ES)","PC","Percentage",":"
"2003","ES21","País Vasco","PC","Percentage",":"
"2003","ES22","Comunidad Foral de Navarra","PC","Percentage",":"
"2003","ES23","La Rioja","PC","Percentage",":"
"2003","ES24","Aragón","PC","Percentage",":"
"2003","ES3","Comunidad de Madrid","PC","Percentage",":"
"2003","ES30","Comunidad de Madrid","PC","Percentage",":"
"2003","ES4","Centro (ES)","PC","Percentage",":"
"2003","ES41","Castilla y León","PC","Percentage",":"
"2003","ES42","Castilla-la Mancha","PC","Percentage",":"
"2003","ES43","Extremadura","PC","Percentage",":"
"2003","ES5","Este (ES)","PC","Percentage",":"
"2003","ES51","Cataluña","PC","Percentage",":"
"2003","ES52","Comunidad Valenciana","PC","Percentage",":"
"2003","ES53","Illes Balears","PC","Percentage",":"
"2003","ES6","Sur (ES)","PC","Percentage",":"
"2003","ES61","Andalucía","PC","Percentage",":"
"2003","ES62","Región de Murcia","PC","Percentage",":"
"2003","ES63","Ciudad Autónoma de Ceuta (ES)","PC","Percentage",":"
"2003","ES64","Ciudad Autónoma de Melilla (ES)","PC","Percentage",":"
"2003","ES7","Canarias (ES)","PC","Percentage",":"
"2003","ES70","Canarias (ES)","PC","Percentage",":"
"2003","FR","France","PC","Percentage",":"
"2003","HR","Croatia","PC","Percentage",":"
"2003","HR03","Jadranska Hrvatska","PC","Percentage",":"
"2003","HR04","Kontinentalna Hrvatska","PC","Percentage",":"
"2003","IT","Italy","PC","Percentage",":"
"2003","ITC","Nord-Ovest","PC","Percentage",":"
"2003","ITC1","Piemonte","PC","Percentage",":"
"2003","ITC2","Valle d'Aosta/Vallée d'Aoste","PC","Percentage",":"
"2003","ITC3","Liguria","PC","Percentage",":"
"2003","ITC4","Lombardia","PC","Percentage",":"
"2003","ITH","Nord-Est","PC","Percentage",":"
"2003","ITH1","Provincia Autonoma di Bolzano/Bozen","PC","Percentage",":"
"2003","ITH2","Provincia Autonoma di Trento","PC","Percentage",":"
"2003","ITH3","Veneto","PC","Percentage",":"
"2003","ITH4","Friuli-Venezia Giulia","PC","Percentage",":"
"2003","ITH5","Emilia-Romagna","PC","Percentage",":"
"2003","ITI","Centro (IT)","PC","Percentage",":"
"2003","ITI1","Toscana","PC","Percentage",":"
"2003","ITI2","Umbria","PC","Percentage",":"
"2003","ITI3","Marche","PC","Percentage",":"
"2003","ITI4","Lazio","PC","Percentage",":"
"2003","ITF","Sud","PC","Percentage",":"
"2003","ITF1","Abruzzo","PC","Percentage",":"
"2003","ITF2","Molise","PC","Percentage",":"
