Tavola 5.29 - Mobilità ospedaliera interregionale per Tumore - Attività per Acuti in Regime diurno - Anno 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONE DI RICOVERO,REGIONE DI RESIDENZA,,,,,,,,,,,,,,,,,,,,,,TOTALE RICOVERI EROGATI,,MOBILITÀ ATTIVA,,,RESIDENTI ALL'ESTERO,,CODICE RESIDENZA ERRATO
,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli V.G.,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna,,,,Dimissioni,%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piemonte," 10,545 ", 29 , 113 , - , 1 , 1 , 3 , 83 , 5 , 6 , 1 , 1 , 11 , 5 , 1 , 17 , 17 , 2 , 37 , 30 , 14 ,," 10,922 ",, 377 , 3.5 ,, 68 ,, - 
Valle d'Aosta, 22 , 795 , 4 , - , - , 2 , - , 3 , 1 , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 2 ,, 832 ,, 37 , 4.4 ,, - ,, - 
Lombardia, 373 , 7 ," 16,996 ", 7 , 24 , 163 , 19 , 152 , 337 , 129 , 48 , 92 , 74 , 45 , 9 , 193 , 248 , 32 , 188 , 283 , 129 ,," 19,548 ",," 2,552 ", 13.1 ,, 94 ,, - 
P.A. Bolzano, 1 , - , 5 , 939 , 63 , 7 , 1 , 1 , 2 , 3 , 1 , - , 2 , 2 , - , 2 , 4 , - , - , 2 , - ,," 1,035 ",, 96 , 9.3 ,, 4 ,, - 
P.A. Trento, 3 , - , 3 , 8 ," 1,109 ", 9 , 1 , - , 5 , - , - , - , 9 , 1 , 1 , 1 , 3 , - , - , 1 , - ,," 1,154 ",, 45 , 3.9 ,, 9 ,, - 
Veneto, 38 , 2 , 313 , 28 , 149 ," 10,976 ", 125 , 30 , 153 , 79 , 14 , 52 , 74 , 38 , 4 , 198 , 150 , 16 , 60 , 202 , 80 ,," 12,781 ",," 1,805 ", 14.1 ,, 65 ,, - 
Friuli V.G., - , - , 4 , 1 , - , 267 ," 3,353 ", 1 , 8 , 3 , 2 , 4 , 5 , 1 , - , 16 , 13 , - , 4 , 28 , 2 ,," 3,712 ",, 359 , 9.7 ,, 19 ,, - 
Liguria, 169 , 4 , 44 , - , 5 , 3 , 3 ," 5,385 ", 28 , 49 , 2 , 8 , 10 , 4 , 2 , 64 , 49 , 4 , 19 , 86 , 32 ,," 5,970 ",, 585 , 9.8 ,, 41 ,, - 
Emilia Romagna, 12 , - , 174 , 4 , 12 , 85 , 12 , 22 ," 10,149 ", 71 , 20 , 101 , 41 , 34 , 6 , 67 , 102 , 13 , 65 , 56 , 17 ,," 11,063 ",, 914 , 8.3 ,, 58 ,, - 
Toscana, 59 , 3 , 102 , - , 6 , 31 , 10 , 125 , 91 ," 7,390 ", 91 , 23 , 107 , 11 , 13 , 126 , 65 , 17 , 58 , 131 , 35 ,," 8,494 ",," 1,104 ", 13.0 ,, 102 ,, - 
Umbria, 3 , - , 4 , - , 1 , 4 , - , 1 , 3 , 149 ," 2,929 ", 36 , 115 , 3 , 2 , 11 , 13 , 5 , 17 , 2 , 1 ,," 3,299 ",, 370 , 11.2 ,, 82 ,, - 
Marche, 4 , - , 7 , 2 , - , 2 , 1 , - , 86 , 7 , 27 ," 4,684 ", 55 , 138 , 15 , 39 , 27 , 4 , 5 , 4 , - ,," 5,107 ",, 423 , 8.3 ,, 17 ,, - 
Lazio, 16 , - , 55 , 2 , 3 , 11 , 4 , 6 , 32 , 48 , 122 , 67 ," 17,476 ", 225 , 70 , 482 , 223 , 63 , 300 , 119 , 42 ,," 19,366 ",," 1,890 ", 9.8 ,, 170 ,, - 
