Tavola 5.33 - Mobilità ospedaliera interregionale per Chemioterapia - Attività per Acuti in Regime diurno - Anno 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONE DI RICOVERO,REGIONE DI RESIDENZA,,,,,,,,,,,,,,,,,,,,,,TOTALE RICOVERI EROGATI,,MOBILITÀ ATTIVA,,,RESIDENTI ALL'ESTERO,,CODICE RESIDENZA ERRATO
,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli V.G.,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna,,,,Dimissioni,%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piemonte," 6,387 ", 27 , 24 , - , 1 , 2 , - , 83 , 7 , 6 , 1 , 3 , 2 , 3 , 1 , 20 , 9 , 5 , 26 , 28 , 9 ,," 6,644 ",, 257 , 3.9 ,, 52 ,, - 
Valle d'Aosta, 10 , 514 , 2 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 2 , - , - ,, 529 ,, 15 , 2.8 ,, 2 ,, - 
Lombardia, 104 , 3 ," 1,824 ", - , 5 , 29 , 2 , 38 , 82 , 37 , 16 , 10 , 23 , 9 , 5 , 45 , 42 , 1 , 22 , 40 , 13 ,," 2,350 ",, 526 , 22.4 ,, 82 ,, - 
P.A. Bolzano, - , - , 1 , 231 , 68 , 2 , - , - , - , 1 , - , 1 , 3 , - , - , - , - , - , 1 , - , 1 ,, 309 ,, 78 , 25.2 ,, 1 ,, - 
P.A. Trento, 2 , - , 9 , 16 ," 1,827 ", 24 , 3 , - , 3 , - , - , - , 2 , 1 , - , 1 , 1 , - , 5 , 4 , 1 ,," 1,899 ",, 72 , 3.8 ,, 8 ,, - 
Veneto, 5 , - , 3 , 3 , 68 , 741 , 27 , - , 13 , - , - , - , - , - , - , - , 13 , 1 , 7 , - , - ,, 881 ,, 140 , 15.9 ,, 40 ,, - 
Friuli V.G., - , - , 6 , 1 , 3 , 522 ," 1,637 ", 1 , 10 , 7 , - , 4 , 5 , 2 , 1 , 18 , 6 , 1 , 3 , 49 , - ,," 2,276 ",, 639 , 28.1 ,, 10 ,, - 
Liguria, 180 , 5 , 65 , - , - , 4 , 4 ," 8,176 ", 15 , 64 , 1 , 5 , 11 , 12 , 1 , 58 , 23 , 1 , 24 , 54 , 28 ,," 8,731 ",, 555 , 6.4 ,, 104 ,, - 
Emilia Romagna, - , - , 18 , - , - , 11 , 1 , 1 ," 1,347 ", 12 , 2 , 10 , 7 , 6 , 4 , 4 , 9 , 3 , 5 , 9 , - ,," 1,449 ",, 102 , 7.0 ,, 54 ,, - 
Toscana, 19 , - , 25 , 1 , 2 , 13 , 6 , 134 , 29 ," 10,595 ", 61 , 17 , 138 , 17 , 4 , 80 , 36 , 10 , 60 , 49 , 14 ,," 11,310 ",, 715 , 6.3 ,, 50 ,, - 
Umbria, 1 , - , 3 , - , - , 1 , 1 , 1 , 2 , 28 ," 1,726 ", 20 , 284 , 9 , 2 , 8 , 3 , 1 , 5 , 4 , 1 ,," 2,100 ",, 374 , 17.8 ,, 7 ,, - 
Marche, 8 , - , 15 , 1 , 1 , 3 , - , 2 , 24 , 11 , 4 ," 8,469 ", 25 , 256 , 9 , 14 , 31 , 3 , 11 , 13 , - ,," 8,900 ",, 431 , 4.8 ,, 12 ,, - 
Lazio, 9 , - , 18 , 4 , 1 , 9 , 3 , 22 , 22 , 50 , 63 , 40 ," 17,746 ", 169 , 33 , 454 , 144 , 94 , 363 , 78 , 40 ,," 19,362 ",," 1,616 ", 8.3 ,, 270 ,, - 
Abruzzo, - , - , 1 , - , - , 1 , - , - , - , - , - , 6 , 8 , 893 , 12 , - , 2 , - , - , 2 , - ,, 925 ,, 32 , 3.5 ,, 2 ,, - 
Molise, - , - , - , - , - , - , - , - , - , - , - , 1 , 54 , 22 , 770 , 140 , 48 , 2 , 4 , - , - ,," 1,041 ",, 271 , 26.0 ,, - ,, - 
Campania, 2 , - , 14 , - , 5 , 5 , 1 , 4 , 9 , 8 , 5 , 3 , 120 , 11 , 34 ," 22,623 ", 41 , 38 , 52 , 21 , 5 ,," 23,001 ",, 378 , 1.6 ,, 101 ,, - 
Puglia, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , 3 , 12 , 700 , 11 , 1 , 2 , - ,, 732 ,, 32 , 4.4 ,, 11 ,, - 
Basilicata, 2 , - , 1 , - , - , 1 , - , 1 , 1 , 2 , - , - , 1 , - , 5 , 270 , 85 ," 1,221 ", 48 , - , - ,," 1,638 ",, 417 , 25.5 ,, - ,, - 
Calabria, - , - , 2 , 1 , - , - , - , - , 1 , 1 , 1 , - , 2 , - , - , 1 , - , 2 ," 1,014 ", 10 , - ,," 1,035 ",, 21 , 2.0 ,, 4 ,, - 
Sicilia, 3 , - , 1 , - , 1 , 1 , - , - , - , - , - , - , 1 , - , - , 1 , - , - , 23 ," 1,319 ", - ,," 1,350 ",, 31 , 2.3 ,, 5 ,, - 
Sardegna, 8 , - , 7 , - , - , 1 , 1 , 1 , 4 , 3 , - , 1 , 6 , - , - , 2 , - , - , 1 , 2 ," 5,477 ",," 5,514 ",, 37 , 0.7 ,, 9 ,, - 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALE RESIDENTI," 6,741 ", 549 ," 2,040 ", 258 ," 1,982 "," 1,370 "," 1,686 "," 8,464 "," 1,570 "," 10,825 "," 1,880 "," 8,590 "," 18,439 "," 1,410 ", 884 ," 23,751 "," 1,193 "," 1,394 "," 1,677 "," 1,684 "," 5,589 ",," 101,976 ",," 6,739 ", 6.6 ,, 824 ,, - 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOBILITÀ PASSIVA, 354 , 35 , 216 , 27 , 155 , 629 , 49 , 288 , 223 , 230 , 154 , 121 , 693 , 517 , 114 ," 1,128 ", 493 , 173 , 663 , 365 , 112 ,," 6,739 ",,,,,,,
%, 5.3 , 6.4 , 10.6 , 10.5 , 7.8 , 45.9 , 2.9 , 3.4 , 14.2 , 2.1 , 8.2 , 1.4 , 3.8 , 36.7 , 12.9 , 4.7 , 41.3 , 12.4 , 39.5 , 21.7 , 2.0 ,, 6.6 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
