year,Piemonte,Torino,Valle d'Aosta,Lombardia,Milano,Trentino-Alto Adige,Veneto,Venezia,Friuli-Venezia Giulia,Liguria,Genova,Emilia-Romagna,Bologna,Toscana,Firenze,Umbria,Marche,Lazio,Roma,Abruzzo,Molise,Campania,Napoli,Puglia,Bari,Basilicata,Calabria,Reggio di Calabria,Sicilia,Palermo,Messina,Catania,Sardegna,Cagliari,gender
1980,70.11,70.11,70.11,68.97,69.14,69.14,69.37,69.37,68.79,70.93,68.97,71.2,69.37,71.63,69.14,71.99,72.39,70.72,68.97,72.07,72.07,69.49,68.97,71.71,70.11,72.35,72.22,68.97,71.65,70.11,68.97,70.93,71.87,69.14,men
1981,70.68,70.68,70.68,69.79,69.74,69.74,69.92,69.92,69.25,71.5,69.79,71.74,69.92,72.19,69.74,72.53,72.82,72.07,69.79,72.35,72.35,70,69.79,71.96,70.68,72.99,72.29,69.79,72.07,70.68,69.79,71.5,72.07,69.74,men
1982,70.92,70.92,70.92,70.01,70.07,70.07,70.21,70.21,69.95,71.65,70.01,72.05,70.21,72.5,70.07,72.84,73.5,71.93,70.01,72.92,72.92,70.45,70.01,72.51,70.92,73.13,72.52,70.01,72.27,70.92,70.01,71.65,72.52,70.07,men
1983,70.8,70.8,70.8,69.94,70.64,70.64,70.22,70.22,70.04,71.41,69.94,71.87,70.22,72.43,70.64,72.69,72.78,71.94,69.94,72.76,72.76,70.7,69.94,72.33,70.8,72.67,72.52,69.94,72.23,70.8,69.94,71.41,71.86,70.64,men
1984,71.41,71.41,71.41,70.55,70.67,70.67,71.01,71.01,70.57,72.27,70.55,72.66,71.01,73.1,70.67,73.3,73.76,72.39,70.55,73.01,73.01,71.43,70.55,72.98,71.41,73.41,73.27,70.55,72.88,71.41,70.55,72.27,72.95,70.67,men
1985,71.82,71.82,71.82,70.97,70.76,70.76,71.15,71.15,70.76,72.43,70.97,72.63,71.15,73.03,70.76,73.41,73.69,72.51,70.97,73.36,73.36,71.48,70.97,72.94,71.82,73.46,73.17,70.97,72.62,71.82,70.97,72.43,72.9,70.76,men
1986,72.13,72.13,72.13,71.28,71.26,71.26,71.66,71.66,71.09,72.66,71.28,73.17,71.66,73.36,71.26,73.43,74.08,72.94,71.28,73.42,73.42,71.8,71.28,73.13,72.13,73.39,73.23,71.28,73.18,72.13,71.28,72.66,72.73,71.26,men
1987,72.52,72.52,72.52,72.03,71.84,71.84,72.31,72.31,71.72,73.1,72.03,73.36,72.31,73.75,71.84,73.71,74.49,73.31,72.03,73.96,73.96,72.01,72.03,73.62,72.52,74.12,73.61,72.03,72.9,72.52,72.03,73.1,73.22,71.84,men
1988,72.89,72.89,72.89,72.16,72.37,72.37,72.66,72.66,71.87,73.06,72.16,73.69,72.66,74.23,72.37,74.15,74.79,73.65,72.16,74.42,74.42,72.14,72.16,74.04,72.89,73.87,73.89,72.16,73.56,72.89,72.16,73.06,73.93,72.37,men
1989,73.18,73.18,73.18,72.54,72.79,72.79,73,73,72.54,73.38,72.54,74,73,74.5,72.79,74.8,74.99,73.54,72.54,74.54,74.54,72.88,72.54,74.42,73.18,75.09,74.52,72.54,73.89,73.18,72.54,73.38,74.11,72.79,men
1990,73.28,73.28,73.28,72.43,73.14,73.14,73.24,73.24,72.51,73.23,72.43,74.13,73.24,74.68,73.14,74.87,75.22,74.18,72.43,74.92,74.92,73.21,72.43,74.54,73.28,74.26,74.27,72.43,73.68,73.28,72.43,73.23,73.83,73.14,men
1991,73.55,73.55,73.55,72.72,73.44,73.44,73.58,73.58,73.02,73.72,72.72,74.26,73.58,74.71,73.44,74.82,75.4,73.97,72.72,74.88,74.88,72.92,72.72,74.68,73.55,75.18,74.35,72.72,73.89,73.55,72.72,73.72,73.75,73.44,men
1992,73.55,73.55,73.55,73.03,73.74,73.74,73.88,73.88,73.04,73.99,73.03,74.08,73.88,75.11,73.74,75.24,75.85,74.13,73.03,75.07,75.07,73.19,73.03,74.92,73.55,74.83,74.4,73.03,74.15,73.55,73.03,73.99,74.04,73.74,men
1993,73.9,73.9,73.9,73.37,74.18,74.18,74.1,74.1,73.35,73.92,73.37,74.42,74.1,75.24,74.18,75.36,75.95,73.94,73.37,75.37,75.37,73.4,73.37,75.09,73.9,75.45,74.96,73.37,74.06,73.9,73.37,73.92,74.16,74.18,men
1994,74.24,74.24,74.24,73.74,74.31,74.31,74.21,74.21,73.82,74.19,73.74,74.87,74.21,75.36,74.31,75.41,76.3,74.47,73.74,75.23,75.23,73.33,73.74,75.18,74.24,75.5,74.96,73.74,74.51,74.24,73.74,74.19,74.16,74.31,men
1995,74.31,74.31,74.31,74.06,74.7,74.7,74.64,74.64,74.24,74.24,74.06,75.36,74.64,75.81,74.7,75.98,76.44,74.62,74.06,75.6,75.6,73.87,74.06,75.65,74.31,75.61,75.57,74.06,74.78,74.31,74.06,74.24,74.76,74.7,men
1996,74.72,74.72,74.72,74.3,74.85,74.85,75.07,75.07,74.45,74.7,74.3,75.51,75.07,76.05,74.85,76.1,76.62,75.29,74.3,75.97,75.97,73.86,74.3,75.87,74.72,75.43,75.64,74.3,75.07,74.72,74.3,74.7,74.97,74.85,men
1997,74.95,74.95,74.95,74.87,75.81,75.81,75.34,75.34,74.78,74.82,74.87,75.8,75.34,76.3,75.81,76.41,76.54,75.21,74.87,76.13,76.13,74.11,74.87,76.1,74.95,75.89,75.6,74.87,75.27,74.95,74.87,74.82,75.31,75.81,men
1998,75.26,75.26,75.26,75.03,75.68,75.68,75.55,75.55,74.93,75.4,75.03,76,75.55,76.49,75.68,76.34,76.66,75.31,75.03,76.53,76.53,74.3,75.03,75.99,75.26,75.73,75.92,75.03,75.48,75.26,75.03,75.4,75.2,75.68,men
1999,75.55,75.55,75.55,75.54,76.14,76.14,75.97,75.97,75.32,75.7,75.54,76.5,75.97,76.89,76.14,76.84,77.4,75.57,75.54,76.58,76.58,74.74,75.54,76.61,75.55,76.62,76.44,75.54,75.65,75.55,75.54,75.7,75.82,76.14,men
2000,76.24,76.24,76.24,76.21,76.87,76.87,76.66,76.66,76.23,76.26,76.21,76.98,76.66,77.31,76.87,77.67,77.81,76.45,76.21,77.1,77.1,75.09,76.21,77.03,76.24,76.98,76.9,76.21,76.08,76.24,76.21,76.26,76.2,76.87,men
2001,76.78,76.78,76.78,76.63,77.15,77.15,77.3,77.3,76.52,76.84,76.63,77.43,77.3,77.73,77.15,77.72,78.37,76.79,76.63,77.44,77.44,75.67,76.63,77.49,76.78,76.97,77.48,76.63,76.81,76.78,76.63,76.84,76.57,77.15,men
2002,76.72,76.72,76.72,76.9,77.69,77.69,77.32,77.32,76.65,76.99,76.9,77.48,77.32,77.98,77.69,78.04,78.51,76.86,76.9,77.38,77.38,75.81,76.9,77.79,76.72,77.05,77.68,76.9,76.72,76.72,76.9,76.99,76.79,77.69,men
2003,76.71,76.71,76.71,76.95,77.41,77.41,77.49,77.49,76.57,77.06,76.95,77.66,77.49,78.05,77.41,78.13,78.24,77.01,76.95,77.8,77.8,75.75,76.95,77.72,76.71,77.4,77.61,76.95,76.8,76.71,76.95,77.06,76.76,77.41,men
2004,77.57,77.57,77.57,77.89,77.96,77.96,78.14,78.14,77.7,77.96,77.89,78.45,78.14,78.85,77.96,78.69,79.04,77.44,77.89,77.79,77.79,76.46,77.89,78.64,77.57,77.94,78.2,77.89,77.81,77.57,77.89,77.96,77.64,77.96,men
2005,77.96,77.96,77.96,78.14,78.46,78.46,78.39,78.39,77.78,78,78.14,78.75,78.39,78.92,78.46,78.37,79.36,77.86,78.14,78.15,78.15,76.43,78.14,78.62,77.96,77.96,78.08,78.14,77.7,77.96,78.14,78,77.58,78.46,men
2006,78.21,78.21,78.21,78.49,78.68,78.68,78.8,78.8,78.1,78.56,78.49,79.14,78.8,79.2,78.68,79.29,79.46,78.1,78.49,78.45,78.45,76.91,78.49,78.9,78.21,78.1,78.59,78.49,78.15,78.21,78.49,78.56,77.91,78.68,men
2007,78.52,78.52,78.52,78.94,79.07,79.07,79.03,79.03,78.61,78.69,78.94,79.28,79.03,79.33,79.07,79.32,79.76,78.61,78.94,78.81,78.81,77.01,78.94,78.85,78.52,78.5,78.56,78.94,77.98,78.52,78.94,78.69,78.32,79.07,men
2008,78.67,78.67,78.67,78.91,79.2,79.2,78.99,78.99,78.45,78.79,78.91,79.46,78.99,79.45,79.2,79.28,79.77,78.86,78.91,78.69,78.69,77.25,78.91,79.21,78.67,79.16,78.75,78.91,78.3,78.67,78.91,78.79,78.55,79.2,men
2009,78.84,78.84,78.07,79.23,79.76,79.76,79.5,79.5,78.93,78.75,79.23,79.71,79.5,79.78,79.76,79.84,80.1,78.9,79.23,78.63,78.96,77.48,79.23,79.26,78.07,79.1,78.76,79.23,78.26,78.07,79.23,78.75,78.42,79.76,men
2010,79.22,79.22,78.4,79.63,80.08,80.08,79.84,79.84,79.15,79.38,79.63,80.02,79.84,80.15,80.08,79.89,80.39,79.15,79.63,79.09,79.02,77.75,79.63,79.8,78.4,79.5,79.18,79.63,78.77,78.4,79.63,79.38,78.93,80.08,men
2011,79.35,79.35,78.56,79.95,80.55,80.55,80.04,80.04,79.33,79.22,79.95,80.32,80.04,80.28,80.55,80.32,80.47,78.99,79.95,79.12,79.09,77.64,79.95,79.74,78.56,79.49,79.18,79.95,78.57,78.56,79.95,79.22,78.9,80.55,men
2012,79.62,79.62,79.56,79.87,80.7,80.7,80.05,80.05,79.29,79.39,79.87,80.19,80.05,80.09,80.7,80.12,80.59,79.07,79.87,79.64,79.49,77.98,79.87,80.01,79.56,79.89,79.22,79.87,78.82,79.56,79.87,79.39,79.06,80.7,men
2013,79.73,79.73,79.65,80.25,80.81,80.81,80.29,80.29,79.51,79.49,80.25,80.54,80.29,80.48,80.81,80.27,80.66,79.48,80.25,79.81,79.66,78.11,80.25,80.16,79.65,79.48,79.42,80.25,79.04,79.65,80.25,79.49,79.25,80.81,men
2014,80.22,80.22,79.73,80.84,81.22,81.22,80.75,80.75,80.12,80.11,80.84,80.98,80.75,80.98,81.22,80.86,81.04,80.04,80.84,80.19,79.69,78.54,80.84,80.48,79.73,79.93,79.65,80.84,79.51,79.73,80.84,80.11,79.71,81.22,men
2015,79.9,79.9,78.75,80.58,81.03,81.03,80.65,80.65,79.92,79.94,80.58,80.87,80.65,80.63,81.03,80.59,80.73,80.11,80.58,80.15,79.57,78.31,80.58,80.34,78.75,79.69,79.58,80.58,79.37,78.75,80.58,79.94,79.78,81.03,men
2016,80.45,80.45,79.36,81.05,81.18,81.18,81.01,81.01,80.36,80.49,81.05,81.17,81.01,81.16,81.18,81.13,81.08,80.56,81.05,80.58,80.07,78.86,81.05,80.8,79.36,80.29,80,81.05,79.83,79.36,81.05,80.49,80.16,81.18,men
2017,80.43,80.43,79.79,81.18,81.51,81.51,81.25,81.25,80.67,80.58,81.18,81.21,81.25,81.3,81.51,81.34,81.16,80.44,81.18,80.33,79.92,78.9,81.18,80.62,79.79,79.89,79.87,81.18,79.53,79.79,81.18,80.58,80.35,81.51,men
1980,77.14,77.14,77.14,77.11,78.06,78.06,77.53,77.53,77.41,78.05,77.11,78.32,77.53,78.57,78.06,78.46,78.61,77.23,77.11,77.57,77.57,74.9,77.11,76.88,77.14,76.83,77.1,77.11,76.24,77.14,77.11,78.05,78.01,78.06,women
1981,77.77,77.77,77.77,77.96,78.22,78.22,78.42,78.42,77.69,78.36,77.96,78.98,78.42,78.88,78.22,79.26,79.11,78.36,77.96,78.17,78.17,75.43,77.96,77.48,77.77,77.24,77.51,77.96,76.64,77.77,77.96,78.36,78.34,78.22,women
1982,77.78,77.78,77.78,77.91,78.3,78.3,78.31,78.31,77.75,78.47,77.91,79.07,78.31,79.31,78.3,78.85,79.38,78.32,77.91,78.45,78.45,76,77.91,77.67,77.78,77.69,77.83,77.91,76.76,77.78,77.91,78.47,78.61,78.3,women
1983,77.53,77.53,77.53,77.74,78.04,78.04,78.38,78.38,77.71,78.62,77.74,78.59,78.38,79.18,78.04,78.62,79.07,78.01,77.74,78.21,78.21,76.28,77.74,77.58,77.53,77.81,77.79,77.74,76.86,77.53,77.74,78.62,78.1,78.04,women
1984,78.27,78.27,78.27,78.37,78.43,78.43,79.08,79.08,78.34,78.77,78.37,79.46,79.08,79.59,78.43,79.66,79.97,78.42,78.37,78.94,78.94,76.88,78.37,78.48,78.27,78.5,78.51,78.37,77.74,78.27,78.37,78.77,79.45,78.43,women
1985,78.51,78.51,78.51,78.52,78.85,78.85,79.19,79.19,78.37,79,78.52,79.38,79.19,79.65,78.85,80.03,79.78,78.5,78.52,79.23,79.23,76.77,78.52,78.32,78.51,78.25,78.55,78.52,77.43,78.51,78.52,79,79.18,78.85,women
1986,78.73,78.73,78.73,78.74,79.21,79.21,79.46,79.46,78.57,79.51,78.74,79.89,79.46,80.1,79.21,80.02,79.92,78.87,78.74,79.51,79.51,77.05,78.74,78.55,78.73,78.9,78.58,78.74,77.71,78.73,78.74,79.51,79.11,79.21,women
1987,79.29,79.29,79.29,79.38,79.83,79.83,80.11,80.11,79.57,79.75,79.38,80.27,80.11,80.57,79.83,80.34,80.49,79.27,79.38,79.72,79.72,77.43,79.38,78.64,79.29,78.69,78.78,79.38,77.57,79.29,79.38,79.75,79.9,79.83,women
1988,79.6,79.6,79.6,79.67,80.02,80.02,80.15,80.15,79.65,79.87,79.67,80.36,80.15,80.66,80.02,80.32,80.6,79.5,79.67,80.03,80.03,77.54,79.67,79.34,79.6,78.76,78.92,79.67,78.25,79.6,79.67,79.87,79.93,80.02,women
1989,79.79,79.79,79.79,79.96,80.49,80.49,80.48,80.48,80.12,80.2,79.96,80.85,80.48,80.9,80.49,80.32,81.13,79.38,79.96,80.18,80.18,78.23,79.96,79.79,79.79,79.63,79.93,79.96,78.84,79.79,79.96,80.2,80.28,80.49,women
1990,79.89,79.89,79.89,79.9,80.98,80.98,80.73,80.73,80.07,80.17,79.9,80.71,80.73,81.04,80.98,80.52,81.19,80.16,79.9,80.46,80.46,78.65,79.9,80.01,79.89,79.82,79.88,79.9,78.71,79.89,79.9,80.17,80.27,80.98,women
1991,80.25,80.25,80.25,80.39,81.11,81.11,81.13,81.13,80.49,80.63,80.39,80.91,81.13,81.11,81.11,80.85,81.22,80.18,80.39,80.73,80.73,78.59,80.39,80.16,80.25,80.21,80.05,80.39,79.08,80.25,80.39,80.63,80.52,81.11,women
1992,80.63,80.63,80.63,80.63,81.49,81.49,81.3,81.3,80.43,80.72,80.63,81.08,81.3,81.39,81.49,81.21,81.89,80.37,80.63,80.9,80.9,79.28,80.63,80.3,80.63,79.85,80.17,80.63,79.34,80.63,80.63,80.72,80.85,81.49,women
1993,80.7,80.7,80.7,80.77,81.55,81.55,81.54,81.54,80.5,80.67,80.77,81.25,81.54,81.38,81.55,81.38,82.03,80.2,80.77,81.03,81.03,79.21,80.77,80.72,80.7,79.77,80.06,80.77,79.23,80.7,80.77,80.67,80.71,81.55,women
1994,80.67,80.67,80.67,81.11,81.87,81.87,81.61,81.61,80.98,80.75,81.11,81.53,81.61,81.49,81.87,81.78,82.28,80.75,81.11,81.13,81.13,79.17,81.11,80.75,80.67,80.12,80.29,81.11,79.49,80.67,81.11,80.75,80.96,81.87,women
1995,80.89,80.89,80.89,81.31,82.28,82.28,81.97,81.97,81.3,80.76,81.31,81.7,81.97,81.74,82.28,81.76,82.35,80.94,81.31,81.67,81.67,79.65,81.31,81.22,80.89,80.46,80.5,81.31,79.86,80.89,81.31,80.76,81.66,82.28,women
1996,81.26,81.26,81.26,81.39,82.65,82.65,82.18,82.18,81.09,81.27,81.39,81.98,82.18,81.97,82.65,81.64,82.59,81.45,81.39,81.64,81.64,79.64,81.39,81.38,81.26,80.56,80.98,81.39,79.9,81.26,81.39,81.27,81.7,82.65,women
1997,81.4,81.4,81.4,81.73,82.61,82.61,82.28,82.28,81.42,81.53,81.73,82.08,82.28,82.05,82.61,82.17,82.67,81.07,81.73,81.91,81.91,80,81.73,81.44,81.4,81,81.08,81.73,80.15,81.4,81.73,81.53,81.9,82.61,women
1998,81.61,81.61,81.61,81.7,82.63,82.63,82.53,82.53,81.72,81.68,81.7,82.19,82.53,82.24,82.63,81.84,82.51,81.27,81.7,81.95,81.95,79.94,81.7,81.26,81.61,81.12,81.01,81.7,80.18,81.61,81.7,81.68,81.64,82.63,women
1999,81.68,81.68,81.68,82.24,83.14,83.14,82.78,82.78,82.18,81.99,82.24,82.61,82.78,82.49,83.14,82.54,83.15,81.58,82.24,82.43,82.43,80.42,82.24,81.8,81.68,81.06,81.5,82.24,80.54,81.68,82.24,81.99,82.04,83.14,women
2000,82.16,82.16,82.16,82.72,83.34,83.34,83.22,83.22,82.43,82.36,82.72,83.08,83.22,82.9,83.34,82.79,83.49,81.98,82.72,82.6,82.6,80.57,82.72,82.06,82.16,81.78,81.73,82.72,80.97,82.16,82.72,82.36,82.79,83.34,women
2001,82.64,82.64,82.64,83.03,84.22,84.22,83.64,83.64,82.99,82.67,83.03,83.29,83.64,83.5,84.22,83.28,83.9,82.5,83.03,83.53,83.53,81.12,83.03,82.54,82.64,82.51,82.33,83.03,81.42,82.64,83.03,82.67,83.09,84.22,women
2002,82.64,82.64,82.64,83.16,84.35,84.35,83.78,83.78,82.94,82.82,83.16,83.7,83.78,83.6,84.35,83.56,84.11,82.51,83.16,83.21,83.21,81.37,83.16,82.86,82.64,82.8,82.89,83.16,81.74,82.64,83.16,82.82,83.29,84.35,women
2003,82.59,82.59,82.59,83.09,83.75,83.75,83.75,83.75,82.99,82.37,83.09,83.29,83.75,83.56,83.75,83.94,83.94,82.36,83.09,83.21,83.21,81.37,83.09,82.88,82.59,82.97,82.46,83.09,81.59,82.59,83.09,82.37,82.93,83.75,women
2004,83.55,83.55,83.55,84.13,84.42,84.42,84.46,84.46,83.46,83.77,84.13,84.08,84.46,84.42,84.42,84.27,84.69,82.9,84.13,84.18,84.18,82.27,84.13,83.83,83.55,82.96,83.31,84.13,82.65,83.55,84.13,83.77,84.03,84.42,women
