,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,21.48998,13.08641486,1.693648756,6.709916389,,12.30430721,4.325717793,3.864375992,4.114213425
Valle d'Aosta,23.31116268,14.51363467,1.666979726,7.130548277,,11.28038136,4.748663797,3.711445589,2.820271976
Lombardia,19.62624664,11.93076266,1.425169893,6.270314087,,10.97803274,4.179142929,3.398943486,3.399946325
Trentino Alto Adige,19.02133606,12.33228938,1.419650666,5.269396015,,10.27270836,3.862635905,3.547623579,2.862448876
Veneto,19.11309686,11.83591717,1.564768382,5.712411313,,10.77740921,3.775563633,3.301882386,3.699963195
Friuli Venezia Giulia,22.0059395,13.06343697,1.553460669,7.389041864,,11.99415484,4.762503409,3.719290039,3.512361395
Liguria,20.75309391,11.79741069,1.747823005,7.207860215,,12.53940485,4.163315403,3.634854124,4.741235323
Emilia Romagna,18.76992999,11.55686974,1.415813258,5.797246997,,11.32583668,4.404065619,3.045575035,3.876196024
Toscana,18.89373499,11.30863234,1.398430521,6.186672127,,10.7944593,3.676552387,3.132583478,3.985323436
Umbria,17.24396495,9.786973277,1.44278328,6.014208389,,10.94659023,4.20465297,3.128171529,3.613765733
Marche,18.12105149,11.52534687,1.611294058,4.984410564,,10.25365393,3.71382113,3.44420266,3.095630139
Lazio,22.51093912,13.53016912,1.462461185,7.518308815,,12.94636451,4.975460052,3.517297609,4.453606844
Abruzzo,21.46180944,12.41116335,1.388531153,7.662114934,,11.82514109,3.610122466,3.588036537,4.626982083
Molise,22.28767781,12.29380582,1.545957499,8.44791449,,10.52896739,3.146702377,3.754412516,3.627852501
Campania,23.64498915,12.55997656,1.617939506,9.467073092,,14.29898693,4.434777895,3.541172733,6.323036307
Puglia,20.78341746,11.96686563,1.3203474,7.496204434,,12.2037505,3.418272694,3.43136859,5.354109218
Basilicata,22.7496943,12.11998737,1.414107459,9.215599474,,11.43215423,3.971813821,2.856952696,4.60338771
Calabria,21.99887637,11.72986221,1.308729709,8.960284451,,13.11716762,3.948954579,3.414687606,5.753525436
Sicilia,23.37579213,12.68739903,1.614180944,9.074212159,,13.44063228,3.944960835,3.530029539,5.965641909
Sardegna,24.8108585,15.28840662,1.650797068,7.871654815,,11.74514427,3.665215883,4.063992976,4.015935414
Italia,20.90517632,12.28862965,1.50527934,7.111267324,,11.96703401,4.107201212,3.457107575,4.402725222
