,Maschi,,,,,,Femmine,,,,
Regione,Tutte le cause,(Pos.),Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,(Pos.),Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,24.51533345,12,14.86364046,2.332708694,7.318984293,,13.95820232,13,5.21733168,4.551283296,4.18958734
Valle d'Aosta,25.9646304,16,16.56946223,1.593795453,7.801372714,,14.81880228,18,6.707228317,3.940210503,4.171363462
Lombardia,22.81637395,6,14.15132098,2.054520988,6.610531987,,13.21921594,7,5.145402137,4.267781446,3.80603236
Trentino Alto Adige,21.60340298,2,14.1641561,1.905141231,5.534105653,,12.32280128,2,5.133595635,3.794601926,3.394603723
Veneto,21.80010961,3,13.38967098,1.949645934,6.460792696,,12.11422506,1,4.549074644,4.010533102,3.554617312
Friuli Venezia Giulia,24.19445001,10,14.36668047,2.270410811,7.557358732,,14.56646431,16,5.90409067,4.591603763,4.070769872
Liguria,23.37559668,8,13.71307088,2.408526424,7.253999372,,13.67603874,11,4.884553252,4.36017022,4.43131527
Emilia Romagna,22.14210697,5,13.76285197,1.880844448,6.498410544,,13.29696252,9,5.484766587,3.89512726,3.917068673
Toscana,21.95761481,4,13.41880913,1.918642691,6.62016299,,12.51693603,4,4.892422896,3.809806345,3.814706787
Umbria,22.93472389,7,14.16291164,2.092833653,6.678978599,,12.89719476,5,5.189733881,3.939002556,3.768458327
Marche,21.34470434,1,13.20764952,2.073174754,6.063880066,,12.48373349,3,5.032515825,4.078446151,3.372771518
Lazio,25.79875956,15,15.73046186,2.152709502,7.915588202,,14.78077122,17,5.777645493,4.282500149,4.72062558
Abruzzo,24.97057454,13,14.99134638,1.939859041,8.039369122,,13.14603484,6,4.398885181,4.05263064,4.694519022
Molise,24.35258401,11,13.60596827,1.869444802,8.87717094,,14.35620075,15,5.383938871,3.699252976,5.273008906
Campania,29.24361786,20,16.66856056,2.207253686,10.36780361,,17.14118977,20,6.10905358,4.519956244,6.512179941
Puglia,23.86003431,9,13.87615682,2.027208628,7.956668861,,13.50319293,10,4.255268352,4.295237255,4.95268732
Basilicata,25.70055939,14,15.62605242,1.595130177,8.479376791,,13.28937059,8,4.126816641,3.686017677,5.476536269
Calabria,26.79955534,18,15.008128,2.061657754,9.72976959,,14.35282204,14,4.344100451,3.968073381,6.040648208
Sicilia,26.6691316,17,15.22639511,2.153553114,9.289183373,,15.74076762,19,5.026070562,4.484499603,6.230197452
Sardegna,27.7119192,19,17.71101346,2.355681158,7.645224588,,13.86218205,12,4.976440006,4.805810717,4.079931332
Italia,24.29893663,,14.61271267,2.089814717,7.596409252,,13.91294673,,5.12862865,4.241557356,4.542760724
