,MASCHI,,,,,,,FEMMINE,,,,,
Regione,Totale,Pos.,,Prev. primaria,Diagnosi pr. e ter.,Igiene e ass. sanitaria,,Totale,Pos.,,Prev. primaria,Diagnosi pr. e ter.,Igiene e ass. sanitaria
Piemonte,23.51,11,,14.17,2.17,7.17,,13.51,14,,5.06,4.51,3.94
Valle d'Aosta,25.83,18,,16.6,1.62,7.61,,14.25,17,,5.88,4.42,3.96
Lombardia,21.57,7,,13.17,1.92,6.48,,12.64,6,,4.84,4.06,3.74
Trentino Alto Adige,21.34,6,,13.86,1.84,5.64,,11.36,1,,4.76,3.52,3.08
Veneto,20.97,4,,12.74,1.86,6.37,,11.49,2,,4.32,3.76,3.4
Friuli Venezia Giulia,22.21,9,,13.02,2.24,6.95,,13.23,12,,5.38,4.23,3.63
Liguria,21.57,7,,12.15,2.35,7.07,,13.09,10,,4.61,4.11,4.37
Emilia Romagna,20.96,3,,12.83,1.77,6.36,,12.65,7,,5.14,3.72,3.79
Toscana,21.07,5,,12.78,1.77,6.52,,12.32,5,,4.74,3.8,3.78
Umbria,20.84,2,,12.17,1.95,6.72,,12.23,4,,4.77,3.34,4.12
Marche,20.78,1,,12.9,1.93,5.95,,11.78,3,,4.87,3.64,3.27
Lazio,24.35,14,,14.77,2.07,7.51,,14.47,18,,5.69,4.18,4.6
Abruzzo,24.19,13,,14.61,1.98,7.6,,12.93,8,,4.42,3.96,4.55
Molise,23.81,12,,13.56,1.79,8.46,,12.97,9,,4.9,3.14,4.93
Campania,28.13,20,,15.83,2.18,10.12,,16.93,20,,5.95,4.52,6.46
Puglia,22.92,10,,13.19,1.99,7.74,,13.17,11,,4.16,4.22,4.78
Basilicata,24.8,15,,14.85,1.65,8.3,,13.55,15,,3.92,3.59,6.04
Calabria,25.53,17,,14.09,2.02,9.42,,14.1,16,,4.29,4.23,5.58
Sicilia,25.13,16,,14.16,2.11,8.86,,15.45,19,,4.86,4.5,6.09
Sardegna,26.15,19,,16.37,2.22,7.56,,13.27,13,,4.89,4.74,3.64
Italia,23.14,,,13.75,2,7.4,,13.46,,,4.93,4.12,4.42
