,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,193.4940271,112.3404084,17.16230297,63.99131575,,98.84045309,36.30042376,30.79317819,31.74685113
Valle d'Aosta,181.6345096,117.3161414,4.707757043,59.61061125,,95.18638481,47.27035106,24.62965441,23.28637934
Lombardia,173.9898114,104.912933,14.45277645,54.62410191,,90.75039212,35.115043,28.42702311,27.20832602
Trentino Alto Adige,169.5537233,104.1955956,16.35544534,49.00268237,,83.93233243,34.75856535,27.52763561,21.64613147
Veneto,169.5783024,97.04317536,14.89248285,57.64264421,,84.84828597,29.27561126,27.99034874,27.58232597
Friuli Venezia Giulia,188.2522783,108.3731512,14.04027063,65.83885639,,105.7347634,40.94580612,33.45332437,31.33563294
Liguria,180.6934145,107.0651953,15.89552788,57.73269131,,96.59891838,32.46035126,29.94458739,34.19397973
Emilia Romagna,170.8931152,100.5118607,14.30589233,56.07536221,,95.4715911,37.78405712,28.10932991,29.57820407
Toscana,168.484786,97.60578837,13.75222543,57.12677218,,87.08993234,32.09832378,27.1909193,27.80068926
Umbria,181.4078337,107.4790828,16.88487521,57.04387577,,90.40598501,31.68655454,28.8683948,29.85103568
Marche,166.7377357,98.02126303,17.70131893,51.01515376,,87.07697665,34.40155407,30.05461209,22.62081049
Lazio,203.0346841,119.471121,16.40158702,67.16197603,,101.5218441,38.46011033,29.20521011,33.8565237
Abruzzo,196.4202462,112.0532183,15.71632385,68.65070396,,90.80090468,28.70119699,29.03577203,33.06393566
Molise,198.479105,98.37495341,13.98369308,86.12045852,,89.69703097,32.59331483,22.87269831,34.23101782
Campania,238.3507667,129.6479919,16.96050357,91.74227132,,123.0231299,42.09775239,32.3507596,48.57461791
Puglia,182.4565381,100.9452449,15.48539579,66.02589738,,96.02858069,28.16586682,31.72007114,36.14264273
Basilicata,193.1200959,100.7633692,12.40707841,79.94964836,,87.50528135,27.82876982,25.28651456,34.38999698
Calabria,202.3680242,105.2799549,15.9419486,81.14612073,,95.63928073,23.76459546,25.94914351,45.92554176
Sicilia,206.001533,113.4718125,15.83823166,76.69148877,,108.7428976,32.3031684,31.53489425,44.90483493
Sardegna,212.7911693,129.1889146,19.18016132,64.42209345,,100.1977693,35.37486115,33.60099652,31.22191161
Italia,189.0424084,108.6640653,15.58919466,64.78914843,,97.25741976,34.36782635,29.57417629,33.31541713
