country,year,c_sections,country_code
Afghanistan, 2010-2015,2.7,AFG
Albania,2013,34.1,ALB
Algeria, 2010-2013,16,DZA
Angola, 2010-2016,3.7,AGO
Argentina,2011,29.1,ARG
Armenia, 2010-2016,18,ARM
Australia,2015,33.3,AUS
Austria,2016,29.5,AUT
Azerbaijan,2015,27.6,AZE
Bahrain,2015,28,BHR
Bangladesh, 2013-2016,30.7,BGD
Barbados, 2010-2012,21.3,BRB
Belarus,2014,27.1,BLR
Belgium,2013,21.2,BEL
Belize, 2013-2016,34.2,BLZ
Benin, 2012-2014,5.3,BEN
Bhutan, 2008-2010,12.4,BTN
"Bolivia, Plurinational State of", 2011-2016,33.4,BOL
Bosnia and Herzegovina,2014,24,BIH
Brazil,2015,55.5,BRA
Bulgaria,2014,39.1,BGR
Burkina Faso, 2010-2015,3.7,BFA
Burundi, 2005-2010,4,BDI
Cambodia, 2009-2014,6.3,KHM
Cameroon, 2012-2014,2.4,CMR
Canada,2015,27.9,CAN
Central African Republic, 2008-2010,4.5,CAF
Chad, 2009-2015,1.4,TCD
Chile,2012,49.6,CHL
China,2014,34.9,CHN
Colombia,2016,45.8,COL
Comoros, 2007-2012,9.6,COM
Congo, 2012-2015,4.9,COG
Costa Rica,2014,23.5,CRI
Côte d'Ivoire, 2014-2016,3.3,CIV
Croatia,2016,23,HRV
Cuba, 2012-2014,40.4,CUB
Cyprus,2015,56.9,CYP
Czechia,2012,25.9,CZE
Democratic People's Republic of Korea, 2007-2009,12.5,PRK
Democratic Republic of the Congo, 2008-2014,5.1,COD
Denmark,2016,19.5,DNK
Djibouti, 2007-2012,11,DJI
Dominican Republic,2012,58.1,DOM
Ecuador,2015,49,ECU
Egypt, 2009-2014,51.8,EGY
El Salvador,2016,31.3,SLV
Equatorial Guinea, 2006-2011,6.6,GNQ
Eritrea, 2005-2010,2.8,ERI
Estonia,2016,20.3,EST
Eswatini, 2012-2014,11.6,SWZ
Ethiopia, 2011-2016,1.9,ETH
Finland,2016,16.4,FIN
France,2016,19.6,FRA
Gabon, 2007-2012,10,GAB
Gambia, 2008-2013,2,GMB
Georgia,2015,41.4,GEO
Germany,2016,30.5,DEU
Ghana, 2009-2014,12.8,GHA
Guatemala, 2009-2015,26.3,GTM
Guinea, 2014-2016,3.1,GIN
Guinea-Bissau, 2012-2014,3.9,GNB
Guyana, 2012-2014,16.9,GUY
Haiti,2013,5.4,HTI
Honduras, 2006-2012,18.6,HND
Hungary,2014,36.4,HUN
Iceland,2016,18.3,ISL
India, 2010-2016,17.2,IND
Indonesia, 2007-2012,12.3,IDN
"Iran, Islamic Republic of", 2008-2010,45.6,IRN
Iraq,2012,24.4,IRQ
Ireland,2015,31.3,IRL
Israel,2014,16.1,ISR
Italy,2014,35,ITA
Jamaica, 2009-2011,21.2,JAM
Japan,2014,19.7,JPN
Jordan, 2007-2012,28,JOR
Kazakhstan, 2013-2015,14.8,KAZ
Kenya,2009,8.7,KEN
Kiribati, 2004-2009,9.6,KIR
Kyrgyzstan, 2012-2014,7.4,KGZ
