Sex,cause_code,communicable_code,cause_group,cause,cause_detail,deaths_thousands,deaths,ratio16,italy2000,italy200tot,ratio
Persons,0,All,All,All,All,639.8009724,639800.9724,1,560.4721743,560472.1743,1
Persons,10,"Communicable, maternal, perinatal and nutritional conditions",All,All,All,31.09768488,31097.68488,0.048605248,18.89592441,18895.92441,0.033714295
Persons,20,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,All,All,13.77420189,13774.20189,0.021528886,4.991447738,4991.447738,0.00890579
Persons,1130,Noncommunicable diseases,Cardiovascular diseases,Ischaemic heart disease,All,112.2293308,112229.3308,0.175412879,122.9238957,122923.8957,0.219322031
Persons,1140,Noncommunicable diseases,Cardiovascular diseases,Stroke,All,62.22931423,62229.31423,0.097263551,68.20276959,68202.76959,0.121688056
Persons,50,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Syphilis,0.010298093,10.29809281,1.60958E-05,0.016344969,16.34496867,2.91629E-05
Persons,60,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Chlamydia,0.004192886,4.192886076,6.55342E-06,0.001839087,1.839087033,3.28132E-06
Persons,70,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Gonorrhoea,0.01207834,12.07834048,1.88783E-05,0.006233909,6.233909487,1.11226E-05
Persons,80,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Trichomoniasis,0,0,0,0,0,0
Persons,85,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Genital herpes,0,0,0,0,0,0
Persons,90,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Other STDs,0.003945441,3.945441013,6.16667E-06,0.002025653,2.025652737,3.61419E-06
Persons,680,Noncommunicable diseases,Malignant neoplasms,"Trachea, bronchus, lung cancers",All,34.18773123,34187.73123,0.053434947,31.79630005,31796.30005,0.056731273
Persons,1180,Noncommunicable diseases,Respiratory diseases,Chronic obstructive pulmonary disease,All,31.19119723,31191.19723,0.048751406,30.07764174,30077.64174,0.053664826
Persons,1160,Noncommunicable diseases,Cardiovascular diseases,Other circulatory diseases,All,29.82873015,29828.73015,0.046621889,21.28578608,21285.78608,0.03797831
Persons,130,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Whooping cough,0.000466274,0.466273743,7.28779E-07,0,0,0
Persons,140,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Diphtheria,1.61211E-05,0.016121102,2.51971E-08,0.000132182,0.13218217,2.35841E-07
Persons,150,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Measles,0.000649739,0.649738712,1.01553E-06,0.002414971,2.414971227,4.30882E-06
Persons,160,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Tetanus,0.020259357,20.25935691,3.16651E-05,0.042428452,42.42845161,7.57013E-05
Persons,650,Noncommunicable diseases,Malignant neoplasms,Colon and rectum cancers,All,21.32602882,21326.02882,0.033332286,17.93688441,17936.88441,0.032003167
Persons,800,Noncommunicable diseases,Diabetes mellitus,Diabetes mellitus,All,22.11233363,22112.33363,0.034561269,17.83072424,17830.72424,0.031813755
Persons,950,Noncommunicable diseases,Neurological conditions,Alzheimer disease and other dementias,All,35.44271651,35442.71651,0.055396472,14.11651541,14116.51541,0.025186827
Persons,186,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis A,0.273842442,273.8424415,0.000428012,0.129406748,129.4067483,0.000230889
Persons,190,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis B,0.415252668,415.2526683,0.000649034,1.464321065,1464.321065,0.002612656
Persons,200,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis C,0,0,0,0,0,0
Persons,205,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis E,1.399295715,1399.295715,0.00218708,0.402956755,402.9567546,0.000718959
Persons,700,Noncommunicable diseases,Malignant neoplasms,Breast cancer,All,13.82823887,13828.23887,0.021613345,12.29698939,12296.98939,0.02194041
Persons,220,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Malaria,0.000392178,0.392178237,6.12969E-07,0,0,0
Persons,230,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,African Trypanosomiasis,0,0,0,0,0,0
Persons,240,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Chagas disease,0.00073845,0.738449972,1.15419E-06,0,0,0
Persons,250,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Schistosomiasis,0,0,0,0,0,0
Persons,260,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Leishmaniasis,0.00341909,3.419090154,5.34399E-06,0.002202343,2.202343317,3.92944E-06
Persons,270,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,lymphatic filariasis,0,0,0,0,0,0
Persons,280,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Onchocerciasis,0,0,0,0,0,0
Persons,285,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Cysticercosis,0,0,0,0,0,0
Persons,295,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Echinococcosis,0,0,0,0,0,0
Persons,300,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Dengue,0,0,0,0,0,0
Persons,310,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Trachoma,0,0,0,0,0,0
Persons,315,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Yellow fever,0,0,0,0,0,0
Persons,320,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Rabies,0.000109474,0.109473616,1.71106E-07,0.000426898,0.426898256,7.61676E-07
Persons,640,Noncommunicable diseases,Malignant neoplasms,Stomach cancer,All,10.77522647,10775.22647,0.016841529,12.16314281,12163.14281,0.0217016
Persons,340,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Ascariasis,0,0,0,0,0,0
Persons,350,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Trichuriasis,0,0,0,0,0,0
Persons,360,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Hookworm disease,0,0,0,0,0,0
Persons,362,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,Food-bourne trematodes,0,0,0,0,0,0
Persons,1120,Noncommunicable diseases,Cardiovascular diseases,Hypertensive heart disease,All,17.65967,17659.67,0.027601818,12.02088847,12020.88847,0.021447788
Persons,1230,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,All,8.787148628,8787.148628,0.013734191,11.43304053,11433.04053,0.020398944
Persons,380,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,All,All,14.18041156,14180.41156,0.022163786,11.45313934,11453.13934,0.020434805
Persons,390,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Lower respiratory infections,All,14.14857656,14148.57656,0.022114028,11.43243744,11432.43744,0.020397868
Persons,660,Noncommunicable diseases,Malignant neoplasms,Liver cancer,All,9.985236757,9985.236757,0.015606786,10.22952795,10229.52795,0.018251625
Persons,1550,Injuries,Unintentional injuries,Falls,All,3.882928886,3882.928886,0.006068964,10.02612271,10026.12271,0.017888707
Persons,780,Noncommunicable diseases,Malignant neoplasms,Other malignant neoplasms,All,8.907962863,8907.962863,0.013923022,9.510038169,9510.038169,0.016967904
Persons,490,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,All,All,0.85231032,852.3103197,0.001332149,1.405423422,1405.423422,0.00250757
Persons,760,Noncommunicable diseases,Malignant neoplasms,"Lymphomas, multiple myeloma",All,9.812364152,9812.364152,0.015336588,8.376566147,8376.566147,0.014945552
Persons,670,Noncommunicable diseases,Malignant neoplasms,Pancreas cancer,All,11.55418764,11554.18764,0.018059034,8.186628253,8186.628253,0.014606663
Persons,1530,Injuries,Unintentional injuries,Road injury,All,3.119614175,3119.614175,0.004875913,7.756789965,7756.789965,0.013839741
Persons,740,Noncommunicable diseases,Malignant neoplasms,Prostate cancer,All,8.289983803,8289.983803,0.012957129,7.448701285,7448.701285,0.013290047
Persons,540,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,All,All,2.272565515,2272.565515,0.003551988,1.019215258,1019.215258,0.001818494
Persons,1270,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,All,14.94006146,14940.06146,0.023351108,7.298663259,7298.663259,0.013022347
Persons,1250,Noncommunicable diseases,Digestive diseases,Other digestive diseases,All,9.325434556,9325.434556,0.014575524,6.791440615,6791.440615,0.012117356
Persons,790,Noncommunicable diseases,Other neoplasms,Other neoplasms,All,8.993908099,8993.908099,0.014057353,6.697886035,6697.886035,0.011950435
Persons,1200,Noncommunicable diseases,Respiratory diseases,Other respiratory diseases,All,9.645061152,9645.061152,0.015075096,5.937613929,5937.613929,0.01059395
Persons,770,Noncommunicable diseases,Malignant neoplasms,Leukaemia,All,6.857404142,6857.404142,0.010718027,5.685740191,5685.740191,0.010144554
Persons,600,Noncommunicable diseases,All,All,All,584.6641196,584664.1196,0.913821868,514.9348657,514934.8657,0.918751883
Persons,610,Noncommunicable diseases,Malignant neoplasms,All,All,173.5292487,173529.2487,0.271223796,155.0920132,155092.0132,0.276716705
