"year","region","men","women"
1980,"Abruzzo",72.07,77.57
1980,"Basilicata",72.35,76.83
1980,"Calabria",72.22,77.1
1980,"Campania",69.49,74.9
1980,"Emilia Romagna",71.2,78.32
1980,"Friuli Venezia Giulia",68.79,77.41
1980,"Lazio",70.72,77.23
1980,"Liguria",70.93,78.05
1980,"Lombardia",68.97,77.11
1980,"Marche",72.39,78.61
1980,"Molise",72.07,77.57
1980,"Piemonte",70.11,77.14
1980,"Puglia",71.71,76.88
1980,"Sardegna",71.87,78.01
1980,"Sicilia",71.65,76.24
1980,"Toscana",71.63,78.57
1980,"Trentino Alto Adige",69.14,78.06
1980,"Umbria",71.99,78.46
1980,"Valle d Aosta",70.11,77.14
1980,"Veneto",69.37,77.53
1981,"Abruzzo",72.35,78.17
1981,"Basilicata",72.99,77.24
1981,"Calabria",72.29,77.51
1981,"Campania",70,75.43
1981,"Emilia Romagna",71.74,78.98
1981,"Friuli Venezia Giulia",69.25,77.69
1981,"Lazio",72.07,78.36
1981,"Liguria",71.5,78.36
1981,"Lombardia",69.79,77.96
1981,"Marche",72.82,79.11
1981,"Molise",72.35,78.17
1981,"Piemonte",70.68,77.77
1981,"Puglia",71.96,77.48
1981,"Sardegna",72.07,78.34
1981,"Sicilia",72.07,76.64
1981,"Toscana",72.19,78.88
1981,"Trentino Alto Adige",69.74,78.22
1981,"Umbria",72.53,79.26
1981,"Valle d Aosta",70.68,77.77
1981,"Veneto",69.92,78.42
1982,"Abruzzo",72.92,78.45
1982,"Basilicata",73.13,77.69
1982,"Calabria",72.52,77.83
1982,"Campania",70.45,76
1982,"Emilia Romagna",72.05,79.07
1982,"Friuli Venezia Giulia",69.95,77.75
1982,"Lazio",71.93,78.32
1982,"Liguria",71.65,78.47
1982,"Lombardia",70.01,77.91
1982,"Marche",73.5,79.38
1982,"Molise",72.92,78.45
1982,"Piemonte",70.92,77.78
1982,"Puglia",72.51,77.67
1982,"Sardegna",72.52,78.61
1982,"Sicilia",72.27,76.76
1982,"Toscana",72.5,79.31
1982,"Trentino Alto Adige",70.07,78.3
1982,"Umbria",72.84,78.85
1982,"Valle d Aosta",70.92,77.78
1982,"Veneto",70.21,78.31
1983,"Abruzzo",72.76,78.21
1983,"Basilicata",72.67,77.81
1983,"Calabria",72.52,77.79
1983,"Campania",70.7,76.28
1983,"Emilia Romagna",71.87,78.59
1983,"Friuli Venezia Giulia",70.04,77.71
1983,"Lazio",71.94,78.01
1983,"Liguria",71.41,78.62
1983,"Lombardia",69.94,77.74
1983,"Marche",72.78,79.07
1983,"Molise",72.76,78.21
1983,"Piemonte",70.8,77.53
1983,"Puglia",72.33,77.58
1983,"Sardegna",71.86,78.1
1983,"Sicilia",72.23,76.86
1983,"Toscana",72.43,79.18
1983,"Trentino Alto Adige",70.64,78.04
1983,"Umbria",72.69,78.62
1983,"Valle d Aosta",70.8,77.53
1983,"Veneto",70.22,78.38
1984,"Abruzzo",73.01,78.94
1984,"Basilicata",73.41,78.5
1984,"Calabria",73.27,78.51
1984,"Campania",71.43,76.88
1984,"Emilia Romagna",72.66,79.46
1984,"Friuli Venezia Giulia",70.57,78.34
1984,"Lazio",72.39,78.42
1984,"Liguria",72.27,78.77
1984,"Lombardia",70.55,78.37
1984,"Marche",73.76,79.97
1984,"Molise",73.01,78.94
1984,"Piemonte",71.41,78.27
1984,"Puglia",72.98,78.48
1984,"Sardegna",72.95,79.45
1984,"Sicilia",72.88,77.74
1984,"Toscana",73.1,79.59
1984,"Trentino Alto Adige",70.67,78.43
1984,"Umbria",73.3,79.66
1984,"Valle d Aosta",71.41,78.27
1984,"Veneto",71.01,79.08
1985,"Abruzzo",73.36,79.23
1985,"Basilicata",73.46,78.25
1985,"Calabria",73.17,78.55
1985,"Campania",71.48,76.77
1985,"Emilia Romagna",72.63,79.38
1985,"Friuli Venezia Giulia",70.76,78.37
1985,"Lazio",72.51,78.5
1985,"Liguria",72.43,79
1985,"Lombardia",70.97,78.52
1985,"Marche",73.69,79.78
1985,"Molise",73.36,79.23
1985,"Piemonte",71.82,78.51
1985,"Puglia",72.94,78.32
1985,"Sardegna",72.9,79.18
1985,"Sicilia",72.62,77.43
1985,"Toscana",73.03,79.65
1985,"Trentino Alto Adige",70.76,78.85
1985,"Umbria",73.41,80.03
1985,"Valle d Aosta",71.82,78.51
1985,"Veneto",71.15,79.19
1986,"Abruzzo",73.42,79.51
1986,"Basilicata",73.39,78.9
1986,"Calabria",73.23,78.58
1986,"Campania",71.8,77.05
1986,"Emilia Romagna",73.17,79.89
1986,"Friuli Venezia Giulia",71.09,78.57
1986,"Lazio",72.94,78.87
1986,"Liguria",72.66,79.51
1986,"Lombardia",71.28,78.74
1986,"Marche",74.08,79.92
1986,"Molise",73.42,79.51
1986,"Piemonte",72.13,78.73
1986,"Puglia",73.13,78.55
1986,"Sardegna",72.73,79.11
1986,"Sicilia",73.18,77.71
1986,"Toscana",73.36,80.1
1986,"Trentino Alto Adige",71.26,79.21
1986,"Umbria",73.43,80.02
1986,"Valle d Aosta",72.13,78.73
1986,"Veneto",71.66,79.46
1987,"Abruzzo",73.96,79.72
1987,"Basilicata",74.12,78.69
1987,"Calabria",73.61,78.78
1987,"Campania",72.01,77.43
1987,"Emilia Romagna",73.36,80.27
1987,"Friuli Venezia Giulia",71.72,79.57
1987,"Lazio",73.31,79.27
1987,"Liguria",73.1,79.75
1987,"Lombardia",72.03,79.38
1987,"Marche",74.49,80.49
1987,"Molise",73.96,79.72
1987,"Piemonte",72.52,79.29
1987,"Puglia",73.62,78.64
1987,"Sardegna",73.22,79.9
1987,"Sicilia",72.9,77.57
1987,"Toscana",73.75,80.57
1987,"Trentino Alto Adige",71.84,79.83
1987,"Umbria",73.71,80.34
1987,"Valle d Aosta",72.52,79.29
1987,"Veneto",72.31,80.11
1988,"Abruzzo",74.42,80.03
1988,"Basilicata",73.87,78.76
1988,"Calabria",73.89,78.92
1988,"Campania",72.14,77.54
1988,"Emilia Romagna",73.69,80.36
1988,"Friuli Venezia Giulia",71.87,79.65
1988,"Lazio",73.65,79.5
1988,"Liguria",73.06,79.87
1988,"Lombardia",72.16,79.67
1988,"Marche",74.79,80.6
1988,"Molise",74.42,80.03
1988,"Piemonte",72.89,79.6
1988,"Puglia",74.04,79.34
1988,"Sardegna",73.93,79.93
1988,"Sicilia",73.56,78.25
1988,"Toscana",74.23,80.66
1988,"Trentino Alto Adige",72.37,80.02
1988,"Umbria",74.15,80.32
1988,"Valle d Aosta",72.89,79.6
1988,"Veneto",72.66,80.15
1989,"Abruzzo",74.54,80.18
1989,"Basilicata",75.09,79.63
1989,"Calabria",74.52,79.93
1989,"Campania",72.88,78.23
1989,"Emilia Romagna",74,80.85
1989,"Friuli Venezia Giulia",72.54,80.12
1989,"Lazio",73.54,79.38
1989,"Liguria",73.38,80.2
1989,"Lombardia",72.54,79.96
1989,"Marche",74.99,81.13
1989,"Molise",74.54,80.18
1989,"Piemonte",73.18,79.79
1989,"Puglia",74.42,79.79
1989,"Sardegna",74.11,80.28
1989,"Sicilia",73.89,78.84
1989,"Toscana",74.5,80.9
1989,"Trentino Alto Adige",72.79,80.49
1989,"Umbria",74.8,80.32
1989,"Valle d Aosta",73.18,79.79
1989,"Veneto",73,80.48
1990,"Abruzzo",74.92,80.46
1990,"Basilicata",74.26,79.82
1990,"Calabria",74.27,79.88
1990,"Campania",73.21,78.65
1990,"Emilia Romagna",74.13,80.71
1990,"Friuli Venezia Giulia",72.51,80.07
1990,"Lazio",74.18,80.16
1990,"Liguria",73.23,80.17
1990,"Lombardia",72.43,79.9
1990,"Marche",75.22,81.19
1990,"Molise",74.92,80.46
1990,"Piemonte",73.28,79.89
1990,"Puglia",74.54,80.01
1990,"Sardegna",73.83,80.27
1990,"Sicilia",73.68,78.71
1990,"Toscana",74.68,81.04
1990,"Trentino Alto Adige",73.14,80.98
1990,"Umbria",74.87,80.52
1990,"Valle d Aosta",73.28,79.89
1990,"Veneto",73.24,80.73
1991,"Abruzzo",74.88,80.73
1991,"Basilicata",75.18,80.21
1991,"Calabria",74.35,80.05
1991,"Campania",72.92,78.59
1991,"Emilia Romagna",74.26,80.91
1991,"Friuli Venezia Giulia",73.02,80.49
1991,"Lazio",73.97,80.18
1991,"Liguria",73.72,80.63
1991,"Lombardia",72.72,80.39
1991,"Marche",75.4,81.22
1991,"Molise",74.88,80.73
1991,"Piemonte",73.55,80.25
1991,"Puglia",74.68,80.16
1991,"Sardegna",73.75,80.52
1991,"Sicilia",73.89,79.08
1991,"Toscana",74.71,81.11
1991,"Trentino Alto Adige",73.44,81.11
1991,"Umbria",74.82,80.85
1991,"Valle d Aosta",73.55,80.25
1991,"Veneto",73.58,81.13
1992,"Abruzzo",75.07,80.9
1992,"Basilicata",74.83,79.85
1992,"Calabria",74.4,80.17
1992,"Campania",73.19,79.28
1992,"Emilia Romagna",74.08,81.08
1992,"Friuli Venezia Giulia",73.04,80.43
1992,"Lazio",74.13,80.37
1992,"Liguria",73.99,80.72
1992,"Lombardia",73.03,80.63
1992,"Marche",75.85,81.89
1992,"Molise",75.07,80.9
1992,"Piemonte",73.55,80.63
1992,"Puglia",74.92,80.3
1992,"Sardegna",74.04,80.85
1992,"Sicilia",74.15,79.34
1992,"Toscana",75.11,81.39
1992,"Trentino Alto Adige",73.74,81.49
1992,"Umbria",75.24,81.21
1992,"Valle d Aosta",73.55,80.63
1992,"Veneto",73.88,81.3
1993,"Abruzzo",75.37,81.03
1993,"Basilicata",75.45,79.77
1993,"Calabria",74.96,80.06
1993,"Campania",73.4,79.21
1993,"Emilia Romagna",74.42,81.25
1993,"Friuli Venezia Giulia",73.35,80.5
1993,"Lazio",73.94,80.2
1993,"Liguria",73.92,80.67
1993,"Lombardia",73.37,80.77
1993,"Marche",75.95,82.03
1993,"Molise",75.37,81.03
1993,"Piemonte",73.9,80.7
1993,"Puglia",75.09,80.72
1993,"Sardegna",74.16,80.71
1993,"Sicilia",74.06,79.23
1993,"Toscana",75.24,81.38
1993,"Trentino Alto Adige",74.18,81.55
1993,"Umbria",75.36,81.38
1993,"Valle d Aosta",73.9,80.7
1993,"Veneto",74.1,81.54
1994,"Abruzzo",75.23,81.13
1994,"Basilicata",75.5,80.12
1994,"Calabria",74.96,80.29
1994,"Campania",73.33,79.17
1994,"Emilia Romagna",74.87,81.53
1994,"Friuli Venezia Giulia",73.82,80.98
1994,"Lazio",74.47,80.75
1994,"Liguria",74.19,80.75
1994,"Lombardia",73.74,81.11
1994,"Marche",76.3,82.28
1994,"Molise",75.23,81.13
1994,"Piemonte",74.24,80.67
1994,"Puglia",75.18,80.75
1994,"Sardegna",74.16,80.96
1994,"Sicilia",74.51,79.49
1994,"Toscana",75.36,81.49
1994,"Trentino Alto Adige",74.31,81.87
1994,"Umbria",75.41,81.78
1994,"Valle d Aosta",74.24,80.67
1994,"Veneto",74.21,81.61
1995,"Abruzzo",75.6,81.67
1995,"Basilicata",75.61,80.46
1995,"Calabria",75.57,80.5
1995,"Campania",73.87,79.65
1995,"Emilia Romagna",75.36,81.7
1995,"Friuli Venezia Giulia",74.24,81.3
1995,"Lazio",74.62,80.94
1995,"Liguria",74.24,80.76
1995,"Lombardia",74.06,81.31
1995,"Marche",76.44,82.35
1995,"Molise",75.6,81.67
1995,"Piemonte",74.31,80.89
1995,"Puglia",75.65,81.22
1995,"Sardegna",74.76,81.66
1995,"Sicilia",74.78,79.86
1995,"Toscana",75.81,81.74
1995,"Trentino Alto Adige",74.7,82.28
1995,"Umbria",75.98,81.76
1995,"Valle d Aosta",74.31,80.89
1995,"Veneto",74.64,81.97
1996,"Abruzzo",75.97,81.64
1996,"Basilicata",75.43,80.56
1996,"Calabria",75.64,80.98
1996,"Campania",73.86,79.64
1996,"Emilia Romagna",75.51,81.98
1996,"Friuli Venezia Giulia",74.45,81.09
1996,"Lazio",75.29,81.45
1996,"Liguria",74.7,81.27
1996,"Lombardia",74.3,81.39
1996,"Marche",76.62,82.59
1996,"Molise",75.97,81.64
1996,"Piemonte",74.72,81.26
1996,"Puglia",75.87,81.38
1996,"Sardegna",74.97,81.7
1996,"Sicilia",75.07,79.9
1996,"Toscana",76.05,81.97
1996,"Trentino Alto Adige",74.85,82.65
1996,"Umbria",76.1,81.64
1996,"Valle d Aosta",74.72,81.26
1996,"Veneto",75.07,82.18
1997,"Abruzzo",76.13,81.91
1997,"Basilicata",75.89,81
1997,"Calabria",75.6,81.08
1997,"Campania",74.11,80
1997,"Emilia Romagna",75.8,82.08
1997,"Friuli Venezia Giulia",74.78,81.42
1997,"Lazio",75.21,81.07
