regione,mean_cs,geo_code
Abruzzo,34.39,ITF1
Basilicata,37.46,ITF5
Calabria,38.21,ITF6
Campania,53.64,ITF3
Emilia-Romagna,24.61,ITH5
Friuli-Venezia Giulia,23.11,ITH4
Lazio,37.46,ITI4
Liguria,29.87,ITC3
Lombardia,26.38,ITC4
Marche,32.04,ITI3
Molise,44.14,ITF2
Piemonte,27.09,ITC1
Provincia Autonoma di Bolzano/Bozen,25.21,ITH1
Provincia Autonoma di Trento,21.82,ITH2
Puglia,41.58,ITF4
Sardegna,37.77,ITG2
Sicilia,41.82,ITG1
Toscana,25.92,ITI1
Umbria,27.18,ITI2
Valle d'Aosta/Vallée d'Aoste,28.42,ITC2
Veneto,22.98,ITH3
